,path,image,folder,red,green,blue
0,/data/coursera/images/sunsets/ANd9GcSN4TPL6_XoTvZeg3-15UhGnWAwjhbxQLjTNiCpWIqMyzq27xIdlg.jpg,"Height: 194px
Width: 259px
Channels: 3
",sunsets,0.4032234842076981,0.2545700932661306,0.29739183218564663
1,/data/coursera/images/sunsets/ANd9GcQeme67tTCcvFbjg3xtvKPls3300iLBXVDEUfy8mx7yWaCAIqEWAw.jpg,"Height: 194px
Width: 259px
Channels: 3
",sunsets,0.5568352144946861,0.24637719918003423,0.03954077190224097
2,/data/coursera/images/sunsets/ANd9GcSAb2GMlHYIvV8eXZuUskgqHA-Oo2LfLjw3FsyeSDF0-5z1rzyk.jpg,"Height: 183px
Width: 275px
Channels: 3
",sunsets,0.5304492672627918,0.11489094324391455,0.07206392821659215
3,/data/coursera/images/sunsets/ANd9GcRs4-CSokZQJFe9vodGC6fK7ouonFopisgxltdHeLmmR85ny4hA.jpg,"Height: 183px
Width: 276px
Channels: 3
",sunsets,0.4576339546457987,0.19431157564148255,0.6168796125118793
4,/data/coursera/images/sunsets/ANd9GcQov2JpsVI0UO50J4NiyhsuxMNw90ffXe6U7PCHVJeQFIUKLZ4qdA.jpg,"Height: 177px
Width: 284px
Channels: 3
",sunsets,0.32955887691971036,0.23169615548161854,0.20214944771027293
5,/data/coursera/images/sunsets/ANd9GcRPQowxaXHVSyfep_8onh-Gjg6P1J5Pux6rEUe3Xuq25aeWwn82.jpg,"Height: 177px
Width: 284px
Channels: 3
",sunsets,0.4310738970368823,0.30350462147887325,0.27077178821516673
6,/data/coursera/images/sunsets/ANd9GcTIIpd0qDRpnGpffSCoHgc6iS4q5SgNDoXtAuXna-1WgB7qSbb-TA.jpg,"Height: 194px
Width: 259px
Channels: 3
",sunsets,0.3319727876348366,0.23981891904330693,0.15303946769394577
7,/data/coursera/images/sunsets/ANd9GcQm3Dvfoztf_kp79I9Lr487O3KOFJeo9q0E2TmbrBr9hz9MgKcB.jpg,"Height: 183px
Width: 275px
Channels: 3
",sunsets,0.4173993262543467,0.4017440542722305,0.5507135649528068
8,/data/coursera/images/sunsets/ANd9GcTCaO2qoZveB_UDbtBh8eit0Z3kThjh-sxKlVMsEM1_T58N7r5J.jpg,"Height: 275px
Width: 183px
Channels: 3
",sunsets,0.578919523099851,0.31413344510680574,0.10888055762543468
9,/data/coursera/images/sunsets/ANd9GcTZ_TW2uDnyBfL_9gkss-9BwWnM82dbFCi_omn-SeA7NkNYcxX6mQ.jpg,"Height: 183px
Width: 275px
Channels: 3
",sunsets,0.3185505930203676,0.31990507016890213,0.33476954483358173
10,/data/coursera/images/sunsets/ANd9GcQBmz9VBm4Okn1pjl7lqfdP47hq0PxOHtnNtjhFOhSoE0doLQzW.jpg,"Height: 168px
Width: 300px
Channels: 3
",sunsets,0.5752103484623016,0.289106677827381,0.377153087797619
11,/data/coursera/images/sunsets/ANd9GcSL1kq5zUHjlrKgr_MU1kVm4k3huzMPR3ifCMgWlswTQIBGPJPOXg.jpg,"Height: 183px
Width: 275px
Channels: 3
",sunsets,0.5322484320665674,0.46859809674615005,0.38924265710382516
12,/data/coursera/images/sunsets/ANd9GcSO1N3EzBmkWq-WzZzT1ZhlKwnrhAbcLtwDUp3BLVMiQqVRDfSp9Q.jpg,"Height: 181px
Width: 278px
Channels: 3
",sunsets,0.46550943809869233,0.20637953552903535,0.08326970157299575
13,/data/coursera/images/sunsets/ANd9GcTfpwOtPZJ8aqbHY1m91H0gSnPB2GZROK4OW5ilTX148q4Ya-4LyA.jpg,"Height: 194px
Width: 259px
Channels: 3
",sunsets,0.7452783088454802,0.25755532778728657,0.0830412806492059
14,/data/coursera/images/sunsets/ANd9GcQCV8_89q_UtP6v7HpojrNvIlDKIFcGVltUayatuPhAAal19B7t.jpg,"Height: 194px
Width: 259px
Channels: 3
",sunsets,0.6812476366277913,0.5335155721350954,0.32573776084165906
15,/data/coursera/images/sunsets/ANd9GcSn7xh8NQ95nLShi_wkshZY2xWcuXdx57sDXnCWIcUrNOAp2U2Isg.jpg,"Height: 168px
Width: 300px
Channels: 3
",sunsets,0.41116110181051585,0.5043566313244048,0.5788290550595238
16,/data/coursera/images/sunsets/ANd9GcRHGdeJnvFvnXkH2PmzkbDzoHzdSbMuO2ks8nqmjtJVCCCF9Xl1FA.jpg,"Height: 183px
Width: 275px
Channels: 3
",sunsets,0.43974897540983604,0.5191793964232488,0.6181964108296075
17,/data/coursera/images/sunsets/ANd9GcT8JlzLyo03Pp97H2B2qQMiFVGQ3tNCNxK3Wq28cUZvMx8A9sCA.jpg,"Height: 299px
Width: 168px
Channels: 3
",sunsets,0.553953717251951,0.35558197463768115,0.3204255691093327
18,/data/coursera/images/sunsets/ANd9GcSzeXthxtaN9plSJFOKddJQI5E4WB4Rzzsu-BD0CY5DdBwh96ngQg.jpg,"Height: 183px
Width: 275px
Channels: 3
",sunsets,0.7438753570541481,0.4328445572528564,0.45078598484848487
